strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	Aerobactin	AbST	Salmochelin	SmST	RmpADC	RmST	rmpA2	wzi	K_locus	K_type	K_locus_problems	K_locus_confidence	K_locus_identity	K_locus_missing_genes	O_locus	O_type	O_locus_problems	O_locus_confidence	O_locus_identity	O_locus_missing_genes	AGly_acquired	Col_acquired	Fcyn_acquired	Flq_acquired	Gly_acquired	MLS_acquired	Phe_acquired	Rif_acquired	Sul_acquired	Tet_acquired	Tgc_acquired	Tmt_acquired	Bla_acquired	Bla_inhR_acquired	Bla_ESBL_acquired	Bla_ESBL_inhR_acquired	Bla_Carb_acquired	Bla_chr	SHV_mutations	Omp_mutations	Col_mutations	Flq_mutations	truncated_resistance_hits	spurious_resistance_hits	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	iucA	iucB	iucC	iucD	iutA	iroB	iroC	iroD	iroN	rmpA	rmpD	rmpC	spurious_virulence_hits
ERR3891112	Klebsiella pneumoniae	strong	49674	268	6386	12074341	no	total_size,N50	ST14-3LV	0	1	7	9	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	wzi64	unknown (KL64)	unknown (K64)	?-+	None	98.99%	KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_04_wza,KL64_08_wcoV,KL64_10_wzy,KL64_13_wcsF,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_19_manB,KL64_20_rmlB,KL64_21_rmlA,KL64_22_rmlD,KL64_23_rmlC	O1/O2v1	O2a	?-	Good	98.63%	O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_07_kfoC	aac(6')-Ib-cr.v2;armA*	-	-	-	-	mphE.v2^	-	-	sul1	-	-	dfrA1.v1;dfrA12;dfrA14.v2*	TEM-150*?	-	CTX-M-15	-	-	-	-	OmpK36-29%	-	GyrA-83Y;GyrA-87G;ParC-80I	CatB4.v1?-84%;SHV-106*?-0%;sat-2?-0%	OXA-181?-63%;OXA-1?-0%;OXA-232?-0%;aadA2*?-0%;aadA2?-0%;msrE?-0%;tet(D)?-0%;tet(D)?-54%	ST14-3LV	1*	-	1	1	1	-	1	-	100	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55-60%	-	-	irp2_228*-0%;ybtQ_88*-0%;ybtP_101*-46%;ybtE_132*-0%;ybtT_42*-0%;ybtS_100*-0%;ybtU_52*-0%;ybtU_13*-0%;iucD_1*-0%;iucB_1*-60%;iucB_1*-0%
ERR3891113	Klebsiella pneumoniae	strong	30729	523	8291	9501524	no	total_size,N50	ST643-2LV	0	0	1	0	-	0	-	0	-	0	-	0	-	0	-	wzi342	unknown (KL109)	unknown (KL109)	?-	None	98.44%	KL109_06_wzc,KL109_13,KL109_14_manC,KL109_15_manB,KL109_17_gnd,KL109_18_rmlB,KL109_21,KL109_22_ugd	O1/O2v2	O2afg	?-	Good	98.49%	O1/O2v2_06_wbbO,O1/O2v2_07_kfoC,O1/O2v2_08_gmlC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-26	-	OmpK36-13%	MgrB-81%;PmrB-44%	-	aac(6')-Ib-cr.v2*?-82%	OXA-1?-0%;OXA-232?-0%;mphE.v1*?-0%	ST643-2LV	130*	3	6	75	9	-	137	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891114	Klebsiella pneumoniae	strong	796	167105	357306	5804530	no	-	ST610	1	2	9	13	ybt 9; ICEKp3	209-1LV	-	0	-	0	-	0	-	0	-	wzi305	KL55	K55	*	Very high	96.20%		O3/O3a	O3/O3a	*	Very high	95.48%		aac(3)-IIa.v1^;aac(6')-Ib-cr.v2;strA.v1^;strB.v1	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	sul2	tet(A).v1	-	dfrA14.v2*	OXA-1^;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-11.v1^	35Q	-	-	-	-	-	ST610	4	5	1	29	1	4	23	5	19	6	5	1	51*	48	9	5	5	21	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891115	Klebsiella pneumoniae	strong	289	163074	524493	5773185	no	-	ST2096	4	2	8	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-48	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	catA1?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891116	Klebsiella pneumoniae	strong	1717	140643	377595	6181696	no	-	ST2096	4	2	9	15	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891117	Klebsiella pneumoniae	strong	646	129551	449720	6003796	no	-	ST101	4	2	7	13	ybt 9; ICEKp3	183	-	0	iuc 1	63-1LV	-	0	-	0	rmpA2_6*-47%	wzi137	KL17	K17	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.03%		aph3-Ia.v1^;armA;strA.v1;strB.v1	-	-	-	-	mphA;mphE.v2;msrE	-	-	sul1;sul2	-	-	dfrA5	-	-	CTX-M-14^;CTX-M-15	-	OXA-48	SHV-1^	-	OmpK35-17%;OmpK36GD	-	GyrA-83Y;GyrA-87N;ParC-80I	-	-	ST101	2	6	1	5	4	1	6	5	11	6	5	1	25	37	9	5	5	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	15	1	1*	1	-	-	-	-	-	-	-	-
ERR3891118	Klebsiella pneumoniae	strong	18761	1000	10267	8020063	no	total_size,N50	ST2096-3LV	3	1	8	11	-	0	-	0	iuc unknown	0	-	0	-	0	-	wzi64	unknown (KL64)	unknown (K64)	?-+	None	100.00%	KL64_01_galF,KL64_02_cpsACP,KL64_03_wzi,KL64_06_wzc,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_20_rmlB,KL64_22_rmlD	O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;armA;sat-2	-	-	-	-	mphE.v2^	CatB4.v1?;catA1^	-	-	-	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1	-	CTX-M-15	-	-	SHV-28.v1^	-	OmpK35-56%;OmpK36-86%	PmrB-18%	GyrA-83Y;GyrA-87G;ParC-80I	aadA2*?-0%;msrE?-84%	OXA-181?-49%;OXA-232?-0%;TEM-150?-0%;sul1?-66%	ST2096-3LV	1	6	1*	234*	1	46	-	4	-	-	169*	-	-	-	2*-0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1*-0%	-	1	-	-	-	-	-	-	-	-	irp1_245*-0%;irp2_220*-0%;ybtE_101*-61%;ybtA_39*-0%;ybtX_100*-0%;ybtQ_1*-44%;fyuA_108*-0%;ybtE_132*-0%;ybtT_42*-44%;ybtT_42*-0%;iutA_1*-0%;iucC_1*-0%;rmpA_55*-60%;rmpA_55*-0%
ERR3891119	Klebsiella pneumoniae	strong	23274	695	8266	8566988	no	total_size,N50	ST2096-1LV	0	3	10	11	-	0	-	0	-	0	-	0	-	0	rmpA2_8-60%	-	unknown (KL64)	unknown (K64)	?-+	None	99.54%	KL64_03_wzi,KL64_14_wcuK,KL64_17_gnd,KL64_18_manC,KL64_22_rmlD,KL64_24_ugd	O1/O2v1	O1	?-	Good	98.64%	O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_04_glf	armA*;sat-2	-	-	-	-	mphE.v2^	CatB4.v1?	-	-	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1	-	CTX-M-156?	-	OXA-232	-	-	OmpK35-34%;OmpK36GD	PmrB-54%	ParC-80I	catA1*?-0%	SHV-212?-0%;TEM-150?-0%;aac(6')-Ib-cr.v1*?-0%;aac(6')-Ib-cr.v2?-57%;aadA2*?-0%;msrE?-0%;sul1?-0%	ST2096-1LV	1	6	1	-	1	46	1	4	-	31*-0%	-	1	-	-	-	42*-87%	108*-0%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55-60%	-	-	ybtP_112*-0%;fyuA_161*-0%;ybtU_13*-69%;ybtX_100*-55%;iutA_1*-0%;iucA_1*-0%;iucB_1*-0%;iucA_1*-0%;iucC_1*-0%
ERR3891120	Klebsiella pneumoniae	strong	58040	240	4244	13157017	no	total_size,N50	0	0	0	2	1	-	0	-	0	-	0	-	0	-	0	-	-	unknown (KL114)	unknown (KL114)	?-+	None	99.49%	KL114_02_cpsACP,KL114_03_wzi,KL114_04_wza,KL114_06_wzc,KL114_07_wbaP,KL114_08_wzy,KL114_09_wciP,KL114_10_wzx,KL114_12_wcuQ,KL114_13,KL114_14_wbaZ,KL114_15,KL114_16_gnd,KL114_17_manC,KL114_18_manB,KL114_19_ugd	unknown (O1/O2v1)	unknown (O1)	?-	None	98.63%	O1/O2v1_01_wzm,O1/O2v1_02_wzt,O1/O2v1_03_wbbM,O1/O2v1_04_glf,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC	-	-	-	-	-	-	-	-	sul2	-	-	-	-	-	-	-	-	-	-	OmpK35-83%;OmpK36-29%	PmrB-20%	-	SHV-223*?-0%;strB.v1*?-0%	CTX-M-103?-0%;CTX-M-114?-0%;OXA-163*?-56%;aac(6')-Ib-Hangzhou*?-0%;aadA25?-49%;aadA2?-0%;aadA5?-0%;aph3-Ia.v1*?-46%;catA1?-0%;catII.2*?-0%;dfrA12?-0%;dfrA15.v1?-0%;ermB.v1*?-57%;mphA?-0%;qnrS10?-0%;qnrS1?-66%;strA.v1?-0%;sul1?-0%;sul1?-41%;tet(A).v1?-0%	0	2	1	-	3	-	-	-	-	-	-	-	1*-0%	-	-	-	65	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ybtQ_139*-0%;fyuA_108*-0%;ybtP_112*-0%;ybtS_100*-0%;rmpA_55*-0%
ERR3891121	Klebsiella pneumoniae	strong	385	134965	325634	5894461	no	-	ST2096	4	3	11	17	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	MgrB-62%	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891122	Klebsiella pneumoniae	strong	480	140643	310413	5841334	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891123	Klebsiella pneumoniae	strong	775	146294	325634	5991900	no	-	ST2096	4	2	10	17	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891124	Klebsiella pneumoniae	strong	1621	129845	324914	6222775	no	-	ST2096	4	2	8	15	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	-	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1	-	-	-	OXA-232;OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	TEM-150*?-0%;aph(3'')-Ib*?-40%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891125	Klebsiella pneumoniae	strong	2681	175790	512303	6365870	no	-	ST45-1LV	0	2	2	2	-	0	-	0	-	0	-	0	-	0	-	wzi101	KL24	K24	none	Very high	99.01%		O1/O2v1	O2a	none	Very high	98.75%		-	-	-	-	-	-	-	-	-	-	-	-	OXA-1	-	-	-	OXA-232	SHV-1	-	-	-	-	CatB4.v1?-82%	CTX-M-103?-0%;TEM-150?-0%;aac(6')-Ib-Suzhou*?-0%;aadA25*?-74%;catA1?-43%;dfrA1.v1?-0%;dfrA1.v1?-45%;msrE*?-0%;sat-2*?-0%;sat-2?-59%;strA.v1?-0%;sul1*?-0%	ST45-1LV	2	1	1	6	7	1	12*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	iucB_1*-0%;rmpA_55*-0%
ERR3891126	Klebsiella pneumoniae	strong	3151	112516	299020	6377421	no	-	ST835	0	2	4	4	-	0	-	0	-	0	-	0	-	0	-	-	KL47	K47	?	Good	99.20%		O1/O2v1	O1	none	Very high	98.34%		aac(6')-Ib'.v1*	-	-	-	-	-	CatB4.v1?	-	sul1	-	-	-	-	-	-	-	OXA-232	SHV-33	-	-	-	-	-	OXA-1*?-0%;aadA2*?-0%;aadA5*?-60%;arr-2?-41%;catA1*?-0%;ermB.v2*?-0%;mphA?-58%;mphE.v2*?-63%;msrE?-43%;tet(D)*?-0%	ST835	2	1	2	1	10	1	57	-	100*-82%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	iucD_1*-0%
ERR3891127	Klebsiella pneumoniae	strong	957	146294	325344	5970648	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	arr-2?-0%;catII.2*?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891128	Klebsiella pneumoniae	strong	1363	141416	521896	6091159	no	-	ST2096	4	3	11	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	MgrB-62%	GyrA-83Y;GyrA-87G;ParC-80I	-	catII.2*?-53%;dfrA17?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891129	Klebsiella pneumoniae	strong	1308	134998	310413	6068236	no	-	ST2096	4	2	10	16	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891130	Klebsiella pneumoniae	strong	1996	173178	573082	6312329	no	-	ST147	1	3	11	14	ybt 10; ICEKp4	384	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O2a	none	Very high	98.64%		aac(3)-IIa.v1^;aph3-Ia.v1^;rmtF	-	-	-	-	mphA	CatB4.v1?;catII.2*	arr-2	sul1	-	-	dfrA12;dfrA14.v2*	OXA-1	-	CTX-M-15	-	NDM-1;OXA-48	SHV-11.v1^	35Q	OmpK35-76%	MgrB-49%	GyrA-83I;ParC-80I	aac(6')-Ib-Suzhou*?-83%	aadA8.v2*?-0%;dfrA1.v1?-50%	ST147	3	4	6	1	7	4	38	16	12	4	3	3	61	54	3	10	9	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891131	Klebsiella pneumoniae	strong	598	134937	325634	5955615	no	-	ST2096	4	2	9	15	ybt 14; ICEKp5	140-2LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	99.99%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1	-	-	-	OXA-232	SHV-28.v1^	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4*	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891132	Klebsiella pneumoniae	strong	1093	167616	492343	6066110	no	-	ST147	1	2	10	14	ybt 10; ICEKp4	384	-	0	-	0	-	0	-	0	-	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O2a	none	Very high	98.64%		aac(3)-IIa.v1^;aph3-Ia.v1^;rmtF	-	-	-	-	mphA	CatB4.v1?;catII.2*	arr-2	sul1	-	-	dfrA12;dfrA14.v2*	OXA-1	-	CTX-M-15	-	NDM-1;OXA-48	SHV-11.v1^	35Q	OmpK35-76%	-	GyrA-83I;ParC-80I	aac(6')-Ib-Suzhou*?-83%	-	ST147	3	4	6	1	7	4	38	16	12	4	3	3	61	54	3	10	9	39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891133	Klebsiella pneumoniae	strong	587	141163	325634	5848909	no	-	ST2096	4	3	9	12	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Perfect	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?	-	sul1	-	-	dfrA1.v1;dfrA12	OXA-1	-	-	-	OXA-232	SHV-28.v1^	-	OmpK36GD	MgrB-60%	GyrA-83Y;GyrA-87G;ParC-80I	-	strA.v1*?-0%;sul2?-0%	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891134	Klebsiella pneumoniae	strong	730	141515	325344	5991423	no	-	ST2096	4	3	11	17	ybt 14; ICEKp5	140-1LV	-	0	iuc 1	1	-	0	-	0	rmpA2_8-60%	wzi64	KL64	K64	none	Very high	100.00%		O1/O2v1	O1	none	Very high	98.64%		aac(6')-Ib-cr.v2;aadA2^;armA*;sat-2	-	-	-	-	mphE.v2^;msrE	CatB4.v1?;catA1^	-	sul1	tet(D)	-	dfrA1.v1;dfrA12;dfrA14.v2*	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	OXA-232	SHV-28.v1^	-	OmpK36GD	MgrB-60%	GyrA-83Y;GyrA-87G;ParC-80I	-	-	ST2096	1	6	1	1	1	46	1	4	100	31	4	1	67	171	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	-	-	-	-	55-60%	-	-	-
ERR3891135	Klebsiella pneumoniae	strong	1021	171969	368683	5489161	no	-	ST48	1	0	1	0	ybt 10; ICEKp4	81	-	0	-	0	-	0	-	0	-	wzi167	KL124	unknown (KL124)	-	High	99.62%	KL124_07_wbaP	O1/O2v1	O1	none	Very high	98.31%		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-1^	-	-	-	GyrA-83F	aac(6')-Ib-cr.v1*?-0%;dfrA1.v1*?-0%	OXA-181*?-63%;OXA-232*?-0%	ST48	2	5	2	2	7	1	10	3	12	4	19	3	42	39	3	10	9	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ERR3891136	Klebsiella pneumoniae	strong	923	129839	326275	6033966	no	-	ST14	1	2	10	25	ybt 14; ICEKp5	140-1LV	-	0	-	0	-	0	-	0	rmpA2_8*-0%	wzi2	KL2	K2	none	Very high	99.74%		O1/O2v1	O1	none	Very high	99.99%		aac(3)-IId^;aac(6')-Ib-cr.v2;aadA*;aadA2^;aph(3')-VI;armA;sat-2;strA.v1*;strB.v1*	-	-	-	-	ereA2*;mphE.v2^;msrE	CatB4.v1?;catA1^;cmlA5	arr-2	sul1;sul2	-	-	dfrA1.v1;dfrA12	OXA-1;TEM-1D.v1^	-	CTX-M-15	-	NDM-1;OXA-232	-	-	OmpK36GD	-	GyrA-83Y;GyrA-87G;ParC-80I	SHV-11.v1*?-0%	OXA-9.v2?-0%	ST14	1	6	1	1	1	1	1	4	4	31	4	1	67	514	2	4	4	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55*-0%	-	-	iucC_1*-0%;iucB_1*-50%
ERR3891137	Klebsiella pneumoniae	strong	1053	186877	395827	5807245	no	-	ST45	1	2	7	9	ybt 10; ICEKp4	78-1LV	-	0	-	0	-	0	-	0	-	wzi121	KL43	K43	?-	Good	99.41%	KL43_15_wcpZ	O1/O2v1	O2a	none	Very high	98.80%		aadA*	-	-	qnrB1.v2^	-	-	CatB4.v1?	-	-	-	-	dfrA14.v2*	OXA-1;OXA-9.v1;TEM-150*?	-	CTX-M-15	-	OXA-48	SHV-1	-	-	-	-	aac(6')-Ib-cr.v2?-0%	dfrA12?-0%;strA.v1?-0%	ST45	2	1	1	6	7	1	12	3	12	4	11	3	21	18	3	10	16	178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rmpA_55*-0%
ERR3891138	Klebsiella pneumoniae	strong	1042	133079	297789	5933697	no	-	ST15	1	2	10	12	ybt 10; ICEKp4	162	-	0	-	0	-	0	-	0	-	wzi24	KL24	K24	?-	Good	100.00%	KL24_13_wcuG	O1/O2v1	O1	none	Very high	98.52%		aac(3)-IIa.v1^;aadA*	-	-	-	-	mphA	CatB4.v1?	-	sul1^	tet(A).v1	-	dfrA15.v2	OXA-1;OXA-9.v1;TEM-1D.v1^	-	CTX-M-15	-	OXA-48	SHV-28.v1^	-	-	-	GyrA-83F;GyrA-87A;ParC-80I	aac(6')-Ib-cr.v2?-0%	dfrA14.v1?-0%	ST15	1	1	1	1	1	1	1	47	12	4	3	3	35	50	3	10	23	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
